Wall time,Step,Value
1641679579.031519,0,0.20613932609558105
1641679603.652822,1,0.040004804730415344
1641679628.1710248,2,0.02354404330253601
1641679652.8909836,3,0.017529714852571487
1641679677.5164514,4,0.01456405222415924
1641679702.2687936,5,0.012124878354370594
1641679726.8035116,6,0.010721751488745213
1641679751.5905302,7,0.00976802222430706
1641679776.2534585,8,0.008623660542070866
1641679800.8722,9,0.00786246545612812
1641679825.375995,10,0.007237656507641077
1641679850.0646615,11,0.006866510957479477
1641679874.682578,12,0.006488834973424673
1641679899.3118813,13,0.005867870524525642
1641679923.8455014,14,0.005648430902510881
1641679948.4491403,15,0.005455342587083578
1641679973.0138426,16,0.005157062318176031
1641679997.6314971,17,0.00525001110509038
1641680022.1437497,18,0.004694427829235792
1641680046.8914058,19,0.004572899546474218
1641680071.4780018,20,0.004376105964183807
1641680096.1400332,21,0.00429510697722435
1641680120.6970186,22,0.004156912211328745
1641680145.455874,23,0.004016588442027569
1641680170.1222498,24,0.003938581328839064
1641680194.7683516,25,0.003836460644379258
1641680219.322128,26,0.003619609633460641
1641680243.955296,27,0.0038607928436249495
1641680268.6773005,28,0.003445781534537673
1641680293.2887354,29,0.003690598765388131
1641680317.7769222,30,0.0033805333077907562
1641680342.5448794,31,0.0034006801433861256
1641680367.1056786,32,0.0032858301419764757
1641680391.720334,33,0.003158105304464698
1641680416.245737,34,0.0030484958551824093
1641680441.0090256,35,0.003069809637963772
1641680465.6235502,36,0.003093907842412591
1641680490.298872,37,0.00301088928245008
1641680514.7879608,38,0.0028727068565785885
1641680539.5243077,39,0.002882488537579775
1641680564.1173244,40,0.0028977578040212393
1641680588.7812493,41,0.0027555276174098253
1641680613.2932794,42,0.002512081293389201
1641680637.971579,43,0.0026448972057551146
1641680662.5682473,44,0.0026010849978774786
1641680687.2433093,45,0.002527309814468026
1641680711.7539647,46,0.0024796260986477137
1641680736.5299973,47,0.002454336266964674
1641680761.1982565,48,0.0026153980288654566
1641680785.8358316,49,0.002322792075574398
1641680810.3854651,50,0.002469453262165189
1641680835.086711,51,0.0021654602605849504
1641680859.935509,52,0.0022955804597586393
1641680884.6518972,53,0.0022146606352180243
1641680909.135345,54,0.0023373381700366735
1641680933.7990987,55,0.0023480085656046867
1641680958.357403,56,0.0021679005585610867
1641680982.9791534,57,0.0021481760777533054
1641681007.5279775,58,0.0020728353410959244
1641681032.213895,59,0.002008476760238409
1641681056.7995434,60,0.0020566550083458424
1641681081.3885555,61,0.001987979281693697
1641681105.9371288,62,0.002189893275499344
1641681130.6037383,63,0.0019313677912577987
1641681155.2275188,64,0.0019748336635529995
1641681179.8544292,65,0.001942052156664431
1641681204.2962446,66,0.0019857524894177914
1641681229.0267107,67,0.0019155206391587853
1641681253.6290865,68,0.0017336206510663033
1641681278.2722628,69,0.002015089150518179
1641681302.8259985,70,0.0018199918558821082
1641681327.507162,71,0.0018334361957386136
1641681352.154762,72,0.0019049199763685465
1641681376.771525,73,0.0019323746673762798
1641681401.29646,74,0.0017249657539650798
1641681425.9711957,75,0.0017429485451430082
1641681450.6662161,76,0.001681503839790821
1641681475.4295177,77,0.0017814466264098883
1641681499.965983,78,0.0018390732584521174
1641681524.6884298,79,0.0017228149808943272
1641681549.275493,80,0.0016471052076667547
1641681573.9290493,81,0.0017216706182807684
1641681598.5576727,82,0.0017157222609966993
1641681623.1843543,83,0.0017664263723418117
1641681647.7903924,84,0.0015559998573735356
1641681672.448368,85,0.001742393709719181
1641681696.9598596,86,0.001669116085395217
1641681721.7892694,87,0.0016215237556025386
1641681746.3587117,88,0.0016612857580184937
1641681771.0783167,89,0.0015546847134828568
1641681795.5518236,90,0.001759608625434339
1641681820.2827518,91,0.0015256269834935665
1641681844.860604,92,0.001528266235254705
1641681869.5571172,93,0.0017504127463325858
1641681894.07803,94,0.001532682217657566
1641681918.7283115,95,0.0016002595657482743
1641681943.3097754,96,0.0015716819325461984
1641681967.8986957,97,0.001525902422145009
1641681992.4688337,98,0.0016238739481195807
1641682017.0618029,99,0.0014146487228572369
